"sample_Forward reads"	"raw.all_Forward reads"	"raw.Uniq_Forward reads"	"afterTrim.all_Forward reads"	"afterTrim.Uniq_Forward reads"	"afterDenoise.all_Forward reads"	"afterDenoise.Uniq_Forward reads"	"afterMerge.all_Forward reads"	"afterMerge.Uniq_Forward reads"	"afterBimera.all_Forward reads"	"afterBimera.Uniq_Forward reads"
"7-D31AM"	66775	32842	62513	16444	62371	487	57215	777	47472	95
"7-D58PM"	66830	26743	63404	12822	63260	507	58442	803	47270	87
"1-D1AM"	66832	37336	60507	17779	60239	292	48652	469	41605	55
"9-D22PM"	66953	38613	62456	18610	62241	578	58032	895	50669	139
"5-D30AM"	67019	37628	61442	19028	61329	519	55915	847	47887	98
"2-D30PM"	67146	40871	61604	20041	61476	687	56191	1060	47680	116
"4-D59PM"	67204	32798	64631	15217	64457	493	59097	775	46703	86
"5-D57PM"	67287	41560	61869	17185	61675	549	54451	879	41183	81
"2-D22AM"	67419	31358	64093	14384	63921	887	59716	1157	51432	163
"10-D61"	67495	30193	63670	15777	63474	500	58002	804	47043	86
"9-D43PM"	67650	26078	63755	11890	63686	270	60396	451	53917	46
"5-D57AM"	67921	46213	62845	22533	62513	594	56045	943	43716	93
"10-D62"	67952	27921	64340	14216	64199	488	59678	794	50158	93
"8-D58PM"	68052	29509	64302	14053	64175	354	59911	646	49751	81
"8-D57AM"	68066	29576	64006	14412	63806	497	58947	802	48066	109
"10-D63"	68096	27923	65119	12480	65004	805	60249	1296	44966	111
"10-D25"	68124	34832	64995	15266	64862	512	61537	705	56452	146
"4-D57AM"	68132	33767	63868	14911	63581	582	57638	854	45677	94
"9-D25"	68154	36832	64445	16163	64328	498	61730	721	55963	126
"3-D9"	68187	41169	62266	19399	62089	736	56168	1015	44448	110
"3-D62"	68268	34631	64483	14667	64325	674	59200	1028	47773	109
"8-D10"	68321	41661	62855	21262	62657	510	56821	803	46970	96
"9-D23PM"	68341	49611	61978	25683	61756	447	57176	727	50406	130
"7-D28PM"	68350	33625	65079	15831	64867	586	60127	807	52741	127
"7-D64PM"	68365	29490	65408	14078	65282	482	61228	764	52277	93
"2-D30AM"	68367	43320	62472	21386	62344	763	56149	1196	45218	123
"3-D43AM"	68392	35813	64200	16055	64053	595	58195	1009	44752	58
"8-D59AM"	68557	30559	65815	14900	65655	529	60836	869	46912	98
"2-D45AM"	68592	31547	64904	15082	64794	434	59279	728	47473	58
"7-D63"	68668	26877	65762	13294	65615	520	60850	846	47964	83
"6-D58PM"	68724	30640	64872	15289	64718	426	58520	746	46744	81
"7-D64AM"	68965	29656	65740	14943	65581	471	60999	737	50934	87
"5-D28AM"	69036	32377	65312	14080	65118	691	60572	888	53633	133
"5-D50AM"	69072	33960	64687	16584	64488	632	59382	1025	44642	87
"2-D58AM"	69329	37677	64053	15304	63840	705	57331	1062	43175	114
"10-D29PM"	69448	37318	64813	18497	64678	495	59499	776	49486	105
"8-D23AM"	69556	39624	64939	18672	64760	487	61265	735	54462	121
"4-D50PM"	69678	32627	65637	15655	65530	732	59128	1110	45805	93
"7-D23AM"	69691	31069	66084	14596	65907	630	62246	890	54754	135
"4-D44PM"	69706	33845	65393	16554	65216	573	58488	986	43559	64
"10-D1AM"	69752	44358	63602	22641	63388	231	55791	385	49806	84
"5-D36AM"	69897	39464	62955	19352	62771	524	57916	772	48103	88
"5-D59PM"	69955	39103	65102	17701	64940	570	58406	916	44648	94
"8-D59PM"	69985	38864	65573	19893	65344	428	58443	760	47029	87
"2-D2PM"	70012	46184	63474	22227	63258	464	56173	724	47128	90
"9-D1AM"	70055	43072	63427	21502	63250	223	57858	360	52607	85
"3-D2PM"	70091	38423	64008	17586	63758	535	57574	831	47401	108
"2-D29AM"	70128	45320	63666	23195	63432	767	57005	1132	45828	107
"6-D1PM"	70132	43405	63834	21547	63656	264	58366	470	51301	110
"9-D24"	70144	45882	65332	22261	65175	403	62382	607	56908	109
"10-D54"	70281	38610	64385	20562	64164	484	57470	778	47347	99
"7-D31PM"	70307	31061	66508	14670	66404	514	62727	835	51884	100
"6-D52PM"	70390	35221	65750	18537	65552	428	59992	723	50598	81
"9-D60PM"	70428	28941	67902	13954	67718	472	63848	824	49815	94
"4-D4AM"	70690	51534	62871	25935	62620	423	54631	703	46132	102
"7-D25"	70716	33296	67357	15070	67201	617	63621	871	55525	125
"6-D62"	70816	31434	66501	16581	66324	405	60840	662	51852	80
"5-D52AM"	70860	38871	65049	19006	64870	521	58125	804	48620	76
"3-D3PM"	70926	53360	62138	27091	61813	409	52736	685	46130	116
"2-D3PM"	70996	47302	64282	22040	64091	529	58004	823	48528	110
"9-D52AM"	71090	39789	64578	20403	64349	362	58447	595	51381	77
"7-D22AM"	71121	30821	67779	14568	67646	630	63780	930	53569	112
"4-D5"	71127	35848	65693	14878	65508	706	59325	1061	46133	129
"6-D43AM"	71147	28085	66681	13647	66562	368	62359	630	52649	60
"6-D59AM"	71174	36129	67629	18958	67381	380	60433	654	48468	72
"2-D5"	71292	34432	65522	13970	65390	618	60814	919	50790	116
"4-D7"	71317	51836	63845	24702	63524	626	56698	998	46094	142
"1-D4PM"	71323	50130	64106	25051	63904	598	55986	944	45637	126
"3-D22AM"	71587	35028	67975	16014	67783	971	62810	1289	52267	179
"8-D35AM"	71672	35875	66734	17605	66602	542	62055	904	51019	103
"2-D50PM"	71715	34440	66573	16983	66406	524	59617	746	50741	91
"7-D35AM"	71919	33576	67101	16660	66957	502	63040	833	51642	93
"7-D58AM"	71944	31431	68220	15535	68090	511	61328	827	49701	81
"3-D31PM"	72033	36490	67882	16916	67745	887	62490	1331	48940	126
"9-D10"	72038	34380	67712	16713	67580	573	62828	919	52493	102
"4-D35PM"	72071	40946	65877	19712	65753	784	58680	1197	47248	120
"4-D23AM"	72073	47238	66580	23049	66287	734	60397	1034	51590	134
"10-D31PM"	72102	36438	67336	17542	67182	504	62822	836	52111	94
"7-D1AM"	72106	43533	65358	21174	65179	250	58447	380	53258	101
"4-D30AM"	72236	42102	65994	20751	65868	603	60563	963	51773	113
"8-D50PM"	72258	30627	68054	15693	67938	494	63335	788	52904	83
"5-D53"	72289	45255	65078	20939	64841	627	58015	947	44572	85
"2-D35AM"	72298	36164	67858	16741	67743	794	62492	1214	50290	114
"1-D4AM"	72461	51406	64487	24630	64293	445	56548	706	49400	114
"3-D32"	72481	38395	67963	17809	67835	823	62731	1275	48988	121
"2-D25"	72728	32055	68884	13774	68703	740	65009	941	57773	125
"10-D59PM"	72829	34199	68218	17799	68057	485	62117	817	50049	88
"2-D6"	72854	40219	66229	17583	66064	686	59262	974	48487	126
"9-D57PM"	73018	33755	68214	17868	68021	484	61014	739	50046	100
"7-D52PM"	73183	35356	68557	19069	68377	459	62054	742	52156	75
"8-D25"	73332	32332	70195	14122	70033	571	66704	849	57290	118
"6-D1AM"	73423	45206	66205	22134	66013	231	60474	380	55766	98
"8-D44AM"	73446	29435	69183	13716	69111	264	65652	444	57521	37
"8-D30AM"	73473	38558	68081	19651	67949	370	63207	645	54414	105
"8-D63"	73590	26795	70723	12512	70569	563	66431	939	53130	86
"6-D2PM"	73612	35831	67509	15808	67370	440	63040	709	53403	135
"6-D50PM"	73724	31335	69644	15531	69533	471	64625	782	53226	76
"4-D51AM"	73802	36240	68943	17486	68801	561	62620	904	50853	84
"10-D57PM"	73823	38520	68893	20871	68718	488	59535	769	47692	100
"5-D3AM"	74078	50249	66512	24031	66222	540	58221	851	48717	115
"7-D30PM"	74126	34970	68983	17615	68825	566	62155	885	49184	103
"4-D52PM"	74237	35373	69672	17604	69473	569	63673	863	54076	101
"2-D42PM"	74421	37944	69077	17660	68913	527	63344	921	48551	61
"2-D29PM"	74423	40995	68895	19673	68715	803	62533	1202	51770	113
"7-D43PM"	74591	27803	70702	13164	70604	318	67230	534	59426	55
"5-D52PM"	74725	50273	67419	25627	67184	612	58407	969	46031	84
"3-D7"	74797	52206	67424	25485	67143	607	57668	984	46884	131
"5-D2AM"	74840	35559	68130	16729	67950	497	60936	758	50338	100
"4-D31AM"	74889	39314	69242	19142	69033	1006	60889	1429	45327	129
"7-D8"	74922	37207	70001	17755	69882	494	65221	817	52897	85
"3-D3AM"	75013	50864	66736	24249	66437	548	58268	869	49416	123
"6-D60AM"	75195	41034	70369	23632	70057	349	62396	592	54019	76
"9-D60AM"	75393	29805	72221	14751	72067	506	66794	853	53498	91
"8-D1AM"	75571	58453	66966	32885	66649	202	57900	329	52806	93
"6-D51PM"	75595	33955	71466	16505	71312	469	67266	817	55398	76
"2-D61"	75670	39506	70274	15606	70093	685	63768	1077	48488	106
"3-D11"	75702	34522	70954	15294	70795	864	65465	1159	52727	144
"8-D58AM"	75735	33191	71411	15798	71250	518	65453	844	52445	99
"8-D52PM"	75976	35279	71520	18159	71336	500	65967	808	55866	97
"8-D1PM"	76068	35064	69235	16438	69086	347	63210	556	54725	121
"5-D31PM"	76233	42345	70374	20011	70155	881	63990	1267	49841	124
"3-D25"	76245	46838	70848	22235	70617	738	65809	988	56181	124
"2-D60PM"	76274	43171	72846	19777	72656	750	65222	1262	50969	132
"2-D4PM"	76286	53180	68417	24974	68140	579	61370	895	51682	114
"10-D22AM"	76404	37005	72204	16718	72033	577	68536	883	59873	121
"4-D58AM"	76480	29326	72149	12719	71991	450	67099	713	55800	84
"10-D58AM"	76575	40734	72331	22560	72063	483	63344	816	49821	96
"2-D53"	76736	50938	68693	22735	68389	475	60781	730	49830	102
"9-D22AM"	76921	32326	73395	14434	73251	669	69774	996	61885	147
"9-D1PM"	76999	35489	70206	16884	69967	400	63405	685	52404	127
"2-D31PM"	77089	37616	72452	16889	72341	786	67606	1212	55995	103
"3-D50AM"	77106	36669	72118	17126	71939	616	67808	908	56962	102
"10-D35AM"	77297	36904	72623	18053	72479	608	67520	962	55675	108
"4-D36AM"	77409	49224	69879	23963	69663	821	62343	1284	48814	119
"10-D53"	77420	34987	72987	19406	72808	566	65505	893	53926	110
"5-D50PM"	77529	46039	71135	23281	70937	592	62693	956	47869	76
"10-D23AM"	77589	32912	73039	13727	72877	694	69520	845	64009	128
"7-D29AM"	77589	31781	73473	14777	73328	618	68974	902	57851	121
"4-D43PM"	77656	39122	72581	18392	72413	571	65718	987	49621	50
"8-D22PM"	77680	43112	72997	21025	72812	585	68039	849	60273	135
"10-D51PM"	77708	34270	73042	17098	72894	411	67745	656	59368	82
"10-D1PM"	77717	48002	69899	24399	69593	396	59987	675	48170	117
"6-D63"	77974	32760	74439	16544	74280	511	68199	848	51090	91
"1-D3PM"	77977	56803	69663	28133	69377	492	61192	830	50262	109
"3-D36AM"	78161	45454	71826	21984	71675	799	63863	1243	48599	95
"10-D58PM"	78174	37804	74205	20082	73989	442	66864	773	51705	86
"2-D35PM"	78185	40342	73419	18805	73276	807	67494	1252	54562	112
"8-D51PM"	78393	37882	72863	19431	72683	429	66562	705	58111	83
"8-D62"	78429	37762	74401	18293	74169	492	68194	853	56819	92
"6-D11"	78456	34782	74511	16412	74351	640	69704	998	58158	114
"7-D54"	78601	37563	73567	20608	73370	529	65571	848	56331	117
"5-D3PM"	78670	55763	69772	27423	69512	413	59681	659	50932	108
"5-D7"	78755	52291	71131	24405	70871	667	63498	1020	51610	122
"M2-D8-1B"	78989	38450	74746	15639	74514	672	71210	979	60926	116
"7-D28AM"	79134	36786	75007	17068	74839	556	70711	793	61186	103
"M2-D8-1A"	79141	39474	74743	16135	74472	656	71177	958	60287	113
"4-D29AM"	79150	40064	73505	19425	73339	837	67552	1241	55558	123
"5-D43AM"	79290	42455	72199	20102	71951	369	65931	652	51631	50
"8-D44PM"	79443	26924	75211	12424	75132	323	71287	519	61829	41
"5-D23AM"	79525	37345	75409	17413	75224	684	70587	971	60891	140
"5-D10"	79536	40088	73995	18345	73834	895	67379	1276	53682	124
"7-D52AM"	79556	35430	74336	18130	74168	396	68736	648	60303	81
"2-D43PM"	79642	38085	74956	18436	74798	503	67740	853	51428	61
"7-D50PM"	79694	33040	75248	17271	75129	489	69180	804	56331	83
"6-D7"	79729	58686	71354	29176	70866	487	63051	858	52234	107
"3-D42AM"	79820	58006	71912	32205	71745	459	65369	791	53372	63
"9-D61"	80002	32216	74910	16327	74729	421	69239	702	57197	97
"10-D9"	80017	41722	74608	19651	74422	573	69291	894	57595	108
"9-D28PM"	80237	34400	76387	15833	76226	613	72222	814	64812	143
"4-D59AM"	80254	34575	77483	15249	77286	475	70157	761	56786	93
"M2-D9-3B"	80303	38732	76458	15141	76303	580	73695	850	65186	123
"2-D52AM"	80481	55361	71007	27554	70712	385	60703	610	52112	84
"9-D30AM"	80503	39491	75497	19760	75385	448	70065	710	60926	114
"9-D8"	80508	39319	75298	18330	75145	612	70089	947	57566	95
"2-D33"	80515	44225	74209	20125	74064	865	66287	1284	51600	117
"2-D45PM"	80559	30293	77596	14240	77494	485	72378	827	56441	62
"2-D32"	80582	44487	75210	21453	75040	845	69384	1363	54943	140
"7-D2AM"	80655	41753	73374	19350	73157	458	67247	750	56392	128
"9-D50PM"	80721	33825	75807	16828	75689	487	70568	834	57059	82
"4-D60PM"	80752	40143	77014	19440	76817	569	70789	874	57985	104
"2-D44PM"	80791	39017	75656	18575	75517	562	68427	937	50780	64
"3-D45AM"	80824	37121	76359	17154	76233	531	69652	879	54925	62
"6-D25"	80847	36817	77016	16468	76869	597	73203	944	63016	116
"8-D31PM"	80858	36038	76341	17049	76209	577	71675	934	59145	109
"8-D3AM"	80939	51618	72985	24314	72674	462	66577	749	58024	140
"M2-D10-1A"	81221	42642	75742	17622	75529	639	71373	915	60596	119
"6-D60PM"	81223	33292	77397	17558	77227	385	72454	663	60008	75
"3-D35PM"	81238	46678	74979	22187	74834	876	66873	1306	50278	120
"5-D35PM"	81245	43290	75252	21009	75065	642	68550	908	55190	113
"4-D38"	81327	57819	69672	29197	69325	437	61854	691	53923	70
"6-D2AM"	81382	42429	73746	20083	73510	439	67168	718	56251	131
"8-D43PM"	81481	31154	76475	14599	76393	259	72288	422	63481	41
"7-D22PM"	81491	49240	75846	24133	75616	600	70405	895	62119	138
"4-D39"	81636	42317	74130	18786	73960	524	68310	807	54831	69
"8-D8"	81920	39500	76960	18555	76826	551	71990	891	57895	89
"8-D22AM"	82029	34677	78173	16008	78001	695	74115	1030	63339	130
"M2-D9-1B"	82071	38721	77664	15354	77418	636	74086	935	63157	113
"1-D7"	82162	59345	73988	29585	73706	709	64818	1071	50613	127
"6-D45AM"	82201	28011	78171	13070	78047	354	74920	623	65117	59
"3-D16"	82273	78010	57072	44326	56315	357	44247	689	37768	88
"6-D42AM"	82408	41297	75689	19144	75537	349	72086	621	62777	51
"9-D39"	82466	41121	74994	18718	74878	252	71728	440	66663	55
"7-D10"	82795	35989	78279	17412	78137	650	72634	983	60768	117
"10-D44AM"	82865	31401	78373	14162	78291	250	74919	417	67714	33
"6-D4AM"	82878	56220	74921	27647	74580	501	67558	827	56870	118
"8-D29AM"	83226	38920	78084	18705	77947	520	73065	874	59047	109
"2-D31AM"	83269	45965	76423	21705	76230	870	68497	1305	54374	112
"1-D6"	83283	45479	75815	19788	75601	698	67614	1057	54225	124
"10-D52AM"	83382	39307	77978	19846	77805	425	71960	689	62637	79
"2-D42AM"	83523	51090	74860	24801	74671	485	69734	861	56377	70
"7-D62"	83537	32747	79573	16107	79413	568	73799	911	60930	101
"7-D59PM"	83667	34547	79227	16735	79063	543	72675	866	59598	86
"6-D37AM"	83712	50805	74451	25273	74222	343	66868	544	58541	68
"3-D2AM"	83720	41714	75838	19583	75625	460	66671	723	56436	104
"4-D37PM"	83756	53420	75031	26470	74757	568	66499	901	56386	79
"5-D22PM"	83805	50200	77808	24062	77565	862	71392	1132	62499	158
"8-D9"	83836	44256	78619	21192	78448	631	72623	984	60257	121
"10-D42AM"	83914	50718	76079	24243	75870	290	72045	542	61149	45
"8-D28AM"	83922	38085	79707	17709	79537	597	74466	878	62477	121
"8-D60AM"	84027	33687	80755	15986	80585	602	75694	997	60303	96
"4-D2PM"	84037	42673	77130	18574	76851	480	70305	756	59559	95
"3-D51PM"	84065	37868	78761	18915	78488	622	73465	891	61801	105
"6-D3AM"	84304	52304	76429	24779	76142	456	68974	734	59429	128
"5-D61"	84425	46943	78846	22442	78609	712	69836	1176	53792	93
"8-D31AM"	84512	41788	78661	20390	78497	574	72536	887	60755	117
"3-D45PM"	84528	34382	80646	15090	80532	595	75402	964	58878	69
"4-D50AM"	84579	39030	80292	18065	80111	802	72549	1236	55351	102
"2-D47"	84620	36239	80689	15655	80580	775	74907	1209	57126	85
"9-D33"	84669	36087	79791	17276	79676	558	75679	939	64067	112
"4-D36PM"	84682	45099	78306	21588	78084	795	71381	1188	57872	113
"10-D24"	84708	35803	80552	15056	80398	515	77504	778	67929	119
"5-D4AM"	84754	60188	75561	29396	75235	583	65853	952	54029	133
"5-D38"	84889	53905	75856	25456	75667	403	70205	672	60825	57
"10-D43PM"	84931	30060	80381	13205	80303	276	76664	429	68571	39
"5-D42AM"	84978	53588	75743	25556	75563	432	67807	781	54749	59
"7-D61"	85173	36731	80192	18609	79969	542	73421	840	61222	85
"9-D35AM"	85219	38174	80369	18469	80208	658	75149	1037	60872	115
"8-D57PM"	85267	43790	79312	21879	79069	465	71110	763	58670	105
"4-D62"	85280	42851	80026	19703	79796	620	72688	956	57805	99
"6-D45PM"	85612	33835	80995	15274	80853	398	77351	670	66034	59
"8-D52AM"	85628	45304	79177	22847	78943	419	72423	692	63508	94
"10-D35PM"	85694	42769	79652	21217	79502	632	72905	966	59214	103
"9-D9"	85804	44963	80432	21054	80255	606	74643	974	62339	108
"9-D3PM"	86024	61386	76889	29535	76543	348	68719	569	61923	110
"10-D2AM"	86173	42774	79087	19326	78888	492	73119	808	62477	136
"9-D2AM"	86323	43510	78849	20446	78638	446	72854	770	60429	119
"10-D39"	86381	44171	78040	20040	77861	295	74158	529	67655	49
"4-D53"	86405	41817	81340	19806	81159	617	74646	916	62736	96
"7-D3PM"	86548	63034	77115	31361	76743	316	68471	515	60910	103
"9-D59PM"	86562	37530	81620	18490	81426	509	74756	835	57665	95
"6-D28AM"	86578	52183	80408	24926	80174	522	74169	794	63948	106
"9-D4AM"	86676	59630	77752	30153	77362	454	69530	751	58604	121
"7-D42PM"	86687	31839	81650	14493	81500	406	77367	678	66029	59
"M2-D10-1B"	86852	44068	81358	18041	81112	692	76761	1014	65378	121
"9-D7"	86922	43214	79619	19093	79409	640	73503	991	60988	118
"10-D33"	87078	48776	80462	24329	80241	596	74332	956	60289	113
"9-D42PM"	87100	32699	81685	14556	81573	386	77997	666	64937	43
"10-D47"	87176	29312	83159	14237	83011	494	79271	802	65819	85
"10-D37AM"	87214	59688	74716	29191	74446	284	67137	463	60133	56
"M2-D9-2B"	87309	45298	82581	18379	82328	632	78770	908	68314	115
"1-D2PM"	87366	44858	80122	18693	79832	522	73784	750	61870	105
"6-D44AM"	87381	35602	81470	16790	81307	419	76155	709	62424	55
"7-D37AM"	87450	51190	78390	25228	78176	320	71438	511	62359	68
"5-D42PM"	87551	52437	79036	24679	78783	388	71653	695	57555	54
"7-D51PM"	87908	33989	83546	16818	83415	444	79633	754	68243	76
"3-D5"	87911	46064	80908	20184	80633	746	71552	1149	56346	141
"5-D37AM"	87930	53070	78508	26589	78321	321	70002	479	64439	53
"4-D31PM"	88074	57380	80922	29249	80694	893	72564	1370	56747	118
"7-D30AM"	88210	57561	80004	31135	79775	359	72172	628	62571	105
"4-D45PM"	88225	34431	84484	15577	84357	579	79220	998	61950	71
"6-D50AM"	88252	34195	84284	16536	84133	548	79542	900	66825	84
"M2-D10-2B"	88279	55770	81970	24512	81690	633	76215	959	65902	120
"8-D51AM"	88423	48751	82164	23747	81930	516	75976	895	64205	91
"3-D43PM"	88436	47563	81894	21010	81646	728	71645	1196	50350	72
"9-D42AM"	88623	49387	81111	23762	80920	330	76899	583	65161	48
"2-D37PM"	88624	54949	80726	27122	80606	361	74389	588	65813	58
"5-D31AM"	88652	49398	80563	23490	80353	945	71693	1394	55642	126
"10-D32"	88665	41803	82464	21063	82318	597	75058	961	61336	97
"4-D61"	88730	44274	83060	20271	82819	576	74910	897	60166	98
"7-D5"	88810	45308	81178	21101	80929	594	74308	943	61279	117
"2-D10"	88844	58419	81416	28416	81152	834	73784	1195	58990	136
"3-D47"	88978	36729	85055	16795	84904	803	78811	1244	61388	109
"2-D2AM"	89034	45753	80583	22382	80326	497	69889	755	57941	108
"7-D35PM"	89038	47552	81351	23889	81197	584	74282	972	61382	107
"6-D42PM"	89042	35544	83328	16950	83179	393	78682	699	66091	55
"8-D61"	89121	34632	84347	15986	84172	573	79019	926	66186	94
"8-D2AM"	89123	42242	81750	19678	81534	474	75336	759	63300	139
"6-D35AM"	89162	35038	84450	16512	84309	612	79632	959	66167	96
"M2-D10-3A"	89381	46676	83625	19138	83391	624	79301	935	67661	108
"8-D42PM"	89662	29224	84586	11911	84489	280	81369	486	69069	37
"9-D43AM"	89744	35165	84024	16020	83904	355	79270	625	65750	43
"9-D28AM"	89837	42299	85891	20266	85475	723	78091	1000	62853	143
"8-D29PM"	89978	44703	83603	22182	83457	573	76933	912	60763	117
"4-D33"	90072	50066	82861	24245	82662	795	73888	1229	59179	120
"8-D4PM"	90449	37332	83868	16755	83682	567	77527	919	65415	133
"2-D21AM"	90455	52236	83913	25329	83698	919	75911	1347	58562	155
"M2-D8-2A"	90652	43369	85907	16951	85624	664	81757	1016	70075	121
"6-D43PM"	90715	38308	85456	17359	85319	369	80966	643	69501	50
"7-D53"	90761	41338	85126	23648	84912	533	76949	877	63716	96
"M2-D9-1A"	90845	42158	86149	16591	85914	682	82254	981	70586	123
"8-D37PM"	90996	51416	81815	25325	81569	353	74383	551	66421	68
"3-D4PM"	91206	43633	83881	18867	83650	803	75116	1184	58988	133
"10-D5"	91279	46191	83477	21846	83206	527	76072	850	65448	134
"3-D30AM"	91556	51024	84944	24179	84781	839	77563	1329	61644	112
"M2-D8-3A"	91712	44917	86881	18501	86677	709	81955	1037	68904	119
"5-D39"	91824	40940	84109	16907	83966	438	79185	675	68500	60
"7-D3AM"	91841	57505	82836	27182	82487	389	75230	673	64611	109
"4-D45AM"	91845	39478	86928	18639	86788	475	80592	841	65596	65
"5-D6"	91927	56188	83742	25311	83474	804	72024	1254	56823	157
"5-D5"	92055	52508	83345	23097	83049	732	73401	1094	59065	141
"7-D36AM"	92085	42228	85338	20325	85153	484	80514	745	68351	97
"9-D31PM"	92181	37790	87493	17333	87341	622	82774	956	68425	118
"4-D29PM"	92303	64004	83275	33725	83014	872	72322	1348	56308	121
"8-D53"	92401	51151	84852	27415	84554	530	74965	878	62337	102
"3-D4AM"	92470	72512	81248	37837	80844	483	67892	782	58161	122
"6-D30PM"	92558	47848	86264	23881	86119	427	80939	743	70137	101
"4-D47"	92629	36357	88851	17047	88681	733	82238	1152	62813	84
"7-D1PM"	92704	44878	83945	20979	83675	389	74978	668	63239	121
"6-D57AM"	92976	43876	88317	23022	88002	504	79641	752	68591	92
"5-D4PM"	92978	41640	85918	17591	85661	723	77774	1095	61734	140
"3-D38"	93015	62917	83613	31651	83304	549	74576	928	62075	77
"6-D6"	93156	48940	85587	22359	85274	544	79337	925	66199	108
"7-D51AM"	93222	35800	89045	18053	88895	553	84192	913	69681	82
"M2-D8-2B"	93297	55637	87639	24344	87303	667	81771	1023	69651	114
"9-D37AM"	93318	63187	81604	31313	81252	286	72655	466	64997	62
"2-D7"	93392	64924	84268	31464	83936	722	74569	1129	59409	147
"6-D29PM"	93594	45134	87771	22495	87605	644	80426	1006	64883	116
"9-D18"	93852	45808	87462	22165	87291	642	80470	1038	64842	109
"10-D60PM"	93891	41420	90412	21355	90196	595	83959	981	66726	100
"8-D3PM"	94124	66548	84143	32544	83714	362	75199	610	67373	125
"2-D39"	94137	51143	84050	25162	83748	505	75671	822	63307	63
"5-D46"	94290	42671	88647	21298	88421	514	81050	843	63112	70
"7-D33"	94622	41241	88680	20075	88559	594	82712	997	66299	100
"10-D50AM"	94781	37717	89948	18981	89767	479	84229	811	69415	79
"10-D3AM"	94821	66689	84327	32748	83853	384	76443	682	66351	120
"6-D5"	94904	48420	86530	22015	86249	557	79301	912	66884	112
"6-D36PM"	94973	50766	87555	24128	87372	490	81279	803	68278	79
"5-D36PM"	94993	45659	86942	21498	86714	481	81027	703	69721	70
"4-D37AM"	95029	62672	84709	31879	84463	549	74398	872	63178	81
"6-D30AM"	95099	47229	89137	23108	88990	424	83725	717	74372	103
"7-D43AM"	95190	35623	89698	17014	89537	418	84303	734	69895	57
"3-D36PM"	95217	49090	89191	23052	89002	926	80759	1395	62004	111
"10-D60AM"	95303	45469	91341	24834	91045	590	83432	968	67287	106
"6-D61"	95416	42752	89304	21952	89053	485	81381	805	64164	87
