sampleID	subject	time
8-D32	8	32.0
8-D33	8	33.0
8-D35AM	8	35.0
8-D35PM	8	35.5
8-D36AM	8	36.0
8-D36PM	8	36.5
8-D37AM	8	37.0
8-D37PM	8	37.5
8-D38	8	38.0
8-D39	8	39.0
8-D3AM	8	3.0
8-D3PM	8	3.5
8-D42AM	8	42.0
8-D42PM	8	42.5
8-D43AM	8	43.0
8-D43PM	8	43.5
8-D44AM	8	44.0
8-D44PM	8	44.5
8-D45AM	8	45.0
8-D45PM	8	45.5
8-D46	8	46.0
8-D47	8	47.0
8-D4AM	8	4.0
8-D4PM	8	4.5
8-D5	8	5.0
8-D50AM	8	50.0
8-D50PM	8	50.5
8-D51AM	8	51.0
8-D51PM	8	51.5
8-D52AM	8	52.0
8-D52PM	8	52.5
8-D53	8	53.0
8-D54	8	54.0
8-D57AM	8	57.0
8-D57PM	8	57.5
8-D58AM	8	58.0
8-D58PM	8	58.5
8-D59AM	8	59.0
8-D59PM	8	59.5
8-D6	8	6.0
8-D60AM	8	60.0
8-D60PM	8	60.5
8-D61	8	61.0
8-D62	8	62.0
8-D63	8	63.0
8-D64AM	8	64.0
8-D64PM	8	64.5
8-D7	8	7.0
8-D8	8	8.0
8-D9	8	9.0
9-D0AM	9	0.0
9-D0PM	9	0.5
9-D10	9	10.0
9-D11	9	11.0
9-D14	9	14.0
9-D16	9	16.0
9-D18	9	18.0
9-D1AM	9	1.0
9-D1PM	9	1.5
9-D21AM	9	21.0
9-D21PM	9	21.5
9-D22AM	9	22.0
9-D22PM	9	22.5
9-D23AM	9	23.0
9-D23PM	9	23.5
9-D24	9	24.0
9-D25	9	25.0
9-D28AM	9	28.0
9-D28PM	9	28.5
9-D29AM	9	29.0
9-D29PM	9	29.5
9-D2AM	9	2.0
9-D2PM	9	2.5
9-D30AM	9	30.0
9-D30PM	9	30.5
9-D31AM	9	31.0
9-D31PM	9	31.5
9-D32	9	32.0
9-D33	9	33.0
9-D35AM	9	35.0
9-D35PM	9	35.5
9-D36AM	9	36.0
9-D36PM	9	36.5
9-D37AM	9	37.0
9-D37PM	9	37.5
9-D38	9	38.0
9-D39	9	39.0
9-D3AM	9	3.0
9-D3PM	9	3.5
9-D42AM	9	42.0
9-D42PM	9	42.5
9-D43AM	9	43.0
9-D43PM	9	43.5
9-D44AM	9	44.0
9-D44PM	9	44.5
9-D45AM	9	45.0
9-D45PM	9	45.5
9-D46	9	46.0
9-D47	9	47.0
9-D4AM	9	4.0
9-D4PM	9	4.5
9-D5	9	5.0
9-D50AM	9	50.0
9-D50PM	9	50.5
9-D51AM	9	51.0
9-D51PM	9	51.5
9-D52AM	9	52.0
9-D52PM	9	52.5
9-D53	9	53.0
9-D54	9	54.0
9-D57AM	9	57.0
9-D57PM	9	57.5
9-D58AM	9	58.0
9-D58PM	9	58.5
9-D59AM	9	59.0
9-D59PM	9	59.5
9-D6	9	6.0
9-D60AM	9	60.0
9-D60PM	9	60.5
9-D61	9	61.0
9-D62	9	62.0
9-D63	9	63.0
9-D64AM	9	64.0
9-D64PM	9	64.5
9-D7	9	7.0
9-D8	9	8.0
9-D9	9	9.0
inoculum-6-10	Ulcerative Colitis	0.0
inoculum1-5	Healthy	0.0
M2-D10-1A	M2-D10	0.0
M2-D10-1B	M2-D10	1.0
M2-D10-2A	M2-D10	2.0
M2-D10-2B	M2-D10	3.0
M2-D10-3A	M2-D10	4.0
M2-D10-3B	M2-D10	5.0
M2-D8-1A	M2-D8	0.0
M2-D8-1B	M2-D8	1.0
M2-D8-2A	M2-D8	2.0
M2-D8-2B	M2-D8	3.0
M2-D8-3A	M2-D8	4.0
M2-D8-3B	M2-D8	5.0
M2-D9-1A	M2-D9	0.0
M2-D9-1B	M2-D9	1.0
M2-D9-2A	M2-D9	2.0
M2-D9-2B	M2-D9	3.0
M2-D9-3A	M2-D9	4.0
M2-D9-3B	M2-D9	5.0
