""	"input"	"filtered"	"denoisedF"	"denoisedR"	"merged"	"nonchim"
"4-D23AM"	72073	65902	65210	65616	59731	51089
"4-D23PM"	42284	39322	38923	39166	35981	31797
"4-D24"	45716	40731	40286	40510	37097	32563
"4-D25"	63419	59056	58466	58853	54926	47387
"4-D28AM"	58682	55058	54547	54846	50604	43312
"4-D29AM"	79150	72845	72514	72690	66910	55080
"4-D29PM"	92303	82348	81867	82119	71649	55814
"4-D2AM"	95527	85646	85378	85374	75968	61400
"4-D2PM"	84037	76660	76361	76462	70062	59529
"4-D30AM"	72236	65399	65271	65273	59828	51230
"4-D30PM"	51645	46356	46217	46215	41323	35840
"4-D31AM"	74889	68860	68381	68652	60394	45006
"4-D31PM"	88074	80153	79715	79921	71158	55880
"4-D32"	58589	52843	52520	52713	46032	36684
"4-D33"	90072	82257	81966	82062	73302	59202
"4-D35AM"	59747	55477	55209	55364	50530	40166
"4-D35PM"	72071	65269	64959	65134	58117	46901
"4-D36AM"	77409	69203	68829	68995	61691	48332
"4-D36PM"	84682	77667	77287	77426	71099	57505
"4-D37AM"	95029	83696	83507	83443	73089	61909
"4-D37PM"	83756	74100	73868	73829	65805	55812
"4-D38"	81327	68216	67954	67873	60801	53024
"4-D39"	81636	73890	73500	73718	67998	54788
"4-D3AM"	58681	50414	50184	50133	42470	35725
"4-D3PM"	64455	56387	56257	56091	48835	43403
"4-D42AM"	65790	57175	56974	57024	53193	43532
"4-D42PM"	66454	61154	60931	61012	55987	44469
"4-D43AM"	59560	54171	53976	54038	48526	39595
"4-D43PM"	77656	71933	71668	71779	65504	49540
"4-D44AM"	55950	51495	51403	51397	46168	37148
"4-D44PM"	69706	64885	64638	64750	58278	43598
"4-D45AM"	91845	86354	86223	86230	80216	65409
"4-D45PM"	88225	84054	83844	83939	78255	61259
"4-D46"	98775	93292	92946	93144	84398	66403
"4-D47"	92629	88388	88016	88221	81771	62685
"4-D4AM"	70690	62227	62101	61984	54424	46076
"4-D4PM"	63771	58457	58114	58297	53348	42633
"4-D5"	71127	65404	64934	65201	58996	46098
"4-D50AM"	84579	79726	79279	79556	72191	55335
"4-D50PM"	69678	65254	64953	65124	58570	45661
"4-D51AM"	73802	68202	67961	68058	62038	50430
